sentenceId,raw_text,aspectTerms,aspectCategories
200,"The gym's outdoor yoga deck is serene and well-maintained, but the dumbbells are mismatched, and the water fountain's filter is clogged.","[{'term': 'yoga deck', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'maintenance', 'polarity': 'negative'}]"
201,"The gym's community events, like member meetups and fitness challenges, are fantastic, but the childcare room is too small and understaffed.","[{'term': 'community events', 'polarity': 'positive'}, {'term': 'childcare room', 'polarity': 'negative'}]","[{'category': 'community', 'polarity': 'positive'}, {'category': 'childcare', 'polarity': 'negative'}]"
202,"The eco-friendly cleaning products leave a fresh scent, but the gym's paper towel waste is excessive, and recycling bins are rarely emptied.","[{'term': 'eco-friendly products', 'polarity': 'positive'}, {'term': 'paper towel waste', 'polarity': 'negative'}, {'term': 'recycling bins', 'polarity': 'negative'}]","[{'category': 'sustainability', 'polarity': 'positive'}, {'category': 'waste_management', 'polarity': 'negative'}]"
203,"The gym's percussion massagers in the recovery lounge are top-notch, but the foam rollers are worn out, and the stretching area is cramped.","[{'term': 'percussion massagers', 'polarity': 'positive'}, {'term': 'foam rollers', 'polarity': 'negative'}, {'term': 'stretching area', 'polarity': 'negative'}]","[{'category': 'recovery_tech', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'space', 'polarity': 'negative'}]"
204,"The gym's member etiquette workshops have improved behavior, but the sauna is often overcrowded, and the water cooler is frequently empty.","[{'term': 'member etiquette', 'polarity': 'positive'}, {'term': 'sauna', 'polarity': 'negative'}, {'term': 'water cooler', 'polarity': 'negative'}]","[{'category': 'community', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
205,"The gym's outdoor boot camp classes are energizing, but the kettlebells are rusting, and the water fountain's pressure is weak.","[{'term': 'boot camp classes', 'polarity': 'positive'}, {'term': 'kettlebells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
206,"The gym's cryotherapy chamber is a game-changer for recovery, but the treadmills are outdated, and the locker room smells musty.","[{'term': 'cryotherapy chamber', 'polarity': 'positive'}, {'term': 'treadmills', 'polarity': 'negative'}, {'term': 'locker room', 'polarity': 'negative'}]","[{'category': 'recovery', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
207,"The gym's outdoor yoga deck is serene and well-maintained, but the dumbbells are mismatched, and the water fountain's filter is clogged.","[{'term': 'yoga deck', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'maintenance', 'polarity': 'negative'}]"
208,"The gym's app tracks calories burned accurately, but the squat racks are too close together, and the locker room smells musty.","[{'term': 'gym app', 'polarity': 'positive'}, {'term': 'squat racks', 'polarity': 'negative'}, {'term': 'locker room', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'space', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
209,"The personal trainers are certified and attentive, but the leg press machine's seat is torn, and the AC vents drip water.","[{'term': 'personal trainers', 'polarity': 'positive'}, {'term': 'leg press machine', 'polarity': 'negative'}, {'term': 'AC vents', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
210,"The gym's rooftop track offers stunning views, but the ellipticals are outdated, and the smoothie bar's prices are outrageous.","[{'term': 'rooftop track', 'polarity': 'positive'}, {'term': 'ellipticals', 'polarity': 'negative'}, {'term': 'smoothie bar prices', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
211,"As a beginner, I was nervous, but the staff was super welcoming and showed me how to use every machine. The gym is clean, but the dumbbells are a bit heavy for me.","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'cleanliness', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'cleanliness', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}]"
212,"I joined last week, and the trainers are amazing! They explained everything clearly, but the gym gets too crowded after 5 PM, and I can't find a free treadmill.","[{'term': 'trainers', 'polarity': 'positive'}, {'term': 'crowd', 'polarity': 'negative'}, {'term': 'treadmills', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'crowd', 'polarity': 'negative'}, {'category': 'availability', 'polarity': 'negative'}]"
213,"The gym is beginner-friendly, but the locker rooms are always messy, and I wish there were more signs explaining how to use the machines.","[{'term': 'beginner-friendly', 'polarity': 'positive'}, {'term': 'locker rooms', 'polarity': 'negative'}, {'term': 'machine instructions', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'cleanliness', 'polarity': 'negative'}, {'category': 'equipment', 'polarity': 'negative'}]"
214,"I've been coming here for a year, and the equipment variety is great, but the squat racks are always taken, and the Wi-Fi is spotty.","[{'term': 'equipment variety', 'polarity': 'positive'}, {'term': 'squat racks', 'polarity': 'negative'}, {'term': 'Wi-Fi', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'technology', 'polarity': 'negative'}]"
215,"The group classes are fun and challenging, but the yoga mats are worn out, and the showers are often out of hot water.","[{'term': 'group classes', 'polarity': 'positive'}, {'term': 'yoga mats', 'polarity': 'negative'}, {'term': 'showers', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
216,"I love the gym's app for tracking my progress, but the leg press machine is broken, and the smoothie bar is overpriced.","[{'term': 'gym app', 'polarity': 'positive'}, {'term': 'leg press machine', 'polarity': 'negative'}, {'term': 'smoothie bar', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
217,"The Olympic lifting platforms are solid, but the gym needs more heavy dumbbells, and the chalk dispensers are always empty.","[{'term': 'lifting platforms', 'polarity': 'positive'}, {'term': 'heavy dumbbells', 'polarity': 'negative'}, {'term': 'chalk dispensers', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'maintenance', 'polarity': 'negative'}]"
218,"The cryotherapy chamber is a game-changer for recovery, but the gym's Wi-Fi is unreliable, and the parking lot is too small.","[{'term': 'cryotherapy chamber', 'polarity': 'positive'}, {'term': 'Wi-Fi', 'polarity': 'negative'}, {'term': 'parking lot', 'polarity': 'negative'}]","[{'category': 'recovery', 'polarity': 'positive'}, {'category': 'technology', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
219,"The advanced powerlifting classes are fantastic, but the barbells are rusty, and the gym's music playlist is repetitive.","[{'term': 'powerlifting classes', 'polarity': 'positive'}, {'term': 'barbells', 'polarity': 'negative'}, {'term': 'music playlist', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'atmosphere', 'polarity': 'negative'}]"
220,"The gym's equipment is top-notch, but the staff needs better training on customer service. I also noticed a lot of broken locker keys in the changing rooms.","[{'term': 'equipment', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'negative'}, {'term': 'locker keys', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
221,"I love how spacious the gym is, but the air conditioning is just terrible during the summer. Also, the floor mats are slippery when wet.","[{'term': 'gym', 'polarity': 'positive'}, {'term': 'air conditioning', 'polarity': 'negative'}, {'term': 'floor mats', 'polarity': 'negative'}]","[{'category': 'space', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
222,"The staff is incredibly friendly, but I wish the hours were more flexible, especially during holidays. The swimming pool could use more cleaning, though.","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'hours', 'polarity': 'negative'}, {'term': 'swimming pool', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
223,"The gym's Wi-Fi was surprisingly fast, but the dumbbells are always scattered around the floor, which is dangerous. The music is often too loud as well.","[{'term': 'Wi-Fi', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'music', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
224,"The gym has great machines for cardio, but there are not enough weights in the free weights area. I also dislike the strict rules about gym attire.","[{'term': 'machines', 'polarity': 'positive'}, {'term': 'weights', 'polarity': 'negative'}, {'term': 'gym attire', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'rules', 'polarity': 'negative'}]"
225,"The gym's location is fantastic, but there's a lack of parking spaces. The lockers are small, and they don't fit my gym bag.","[{'term': 'location', 'polarity': 'positive'}, {'term': 'parking spaces', 'polarity': 'negative'}, {'term': 'lockers', 'polarity': 'negative'}]","[{'category': 'location', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
226,"The yoga classes are excellent, but I had trouble getting a spot. The lighting in the studio is also too dim, which I don't like.","[{'term': 'yoga classes', 'polarity': 'positive'}, {'term': 'spot', 'polarity': 'negative'}, {'term': 'lighting', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
227,"The swimming pool is always too cold for a comfortable swim, and the changing rooms are so cramped, it's hard to get dressed. The reception desk could be more efficient.","[{'term': 'swimming pool', 'polarity': 'negative'}, {'term': 'changing rooms', 'polarity': 'negative'}, {'term': 'reception desk', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'negative'}]"
228,"The gym's cleanliness is excellent, but the lockers are always full. The atmosphere is motivating, but the music gets too repetitive after a while.","[{'term': 'cleanliness', 'polarity': 'positive'}, {'term': 'lockers', 'polarity': 'negative'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'music', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'positive'}]"
229,"The gym has great cardio equipment, but the pool area is too small for the number of people who use it. The staff is always helpful, though.","[{'term': 'cardio equipment', 'polarity': 'positive'}, {'term': 'pool area', 'polarity': 'negative'}, {'term': 'staff', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'positive'}]"
230,"The personal training sessions are great, but I didn't like how crowded the gym gets during peak hours. The temperature inside was also too high.","[{'term': 'personal training', 'polarity': 'positive'}, {'term': 'crowded', 'polarity': 'negative'}, {'term': 'temperature', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'environment', 'polarity': 'negative'}]"
231,"The gym is clean and organized, but the front desk could use more staff. The locker rooms are sometimes messy and could be improved.","[{'term': 'cleanliness', 'polarity': 'positive'}, {'term': 'front desk', 'polarity': 'negative'}, {'term': 'locker rooms', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
232,"The gym's flexibility with payment options is amazing, but the equipment sometimes seems old and outdated. They could upgrade a few machines.","[{'term': 'payment options', 'polarity': 'positive'}, {'term': 'equipment', 'polarity': 'negative'}, {'term': 'machines', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}]"
233,"I like the variety of machines, but the gym lacks a good stretching area. The lighting is also harsh and too bright in some spots.","[{'term': 'variety of machines', 'polarity': 'positive'}, {'term': 'stretching area', 'polarity': 'negative'}, {'term': 'lighting', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
234,"The gym is very affordable, but the hours are not convenient for people with busy schedules. The temperature inside could be lower, especially during summer.","[{'term': 'affordable', 'polarity': 'positive'}, {'term': 'hours', 'polarity': 'negative'}, {'term': 'temperature', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
235,"The gym's atmosphere is great, but I wish the staff were more approachable. The yoga classes are a bit too advanced for beginners.","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'negative'}, {'term': 'yoga classes', 'polarity': 'negative'}]","[{'category': 'environment', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'negative'}]"
236,"The gym is always clean, but the benches are often taken, especially during peak hours. The gym snacks could use some improvement.","[{'term': 'cleanliness', 'polarity': 'positive'}, {'term': 'benches', 'polarity': 'negative'}, {'term': 'gym snacks', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'food', 'polarity': 'negative'}]"
237,"The gym's hours are very convenient, but the showers often run out of hot water. The equipment could use some maintenance.","[{'term': 'hours', 'polarity': 'positive'}, {'term': 'showers', 'polarity': 'negative'}, {'term': 'equipment', 'polarity': 'negative'}]","[{'category': 'availability', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
238,"The gym is good for weightlifting, but they don't offer much in the way of cardio equipment. The lockers could use some upgrades.","[{'term': 'weightlifting', 'polarity': 'positive'}, {'term': 'cardio equipment', 'polarity': 'negative'}, {'term': 'lockers', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
239,"The gym has everything I need for a good workout, but the air conditioning doesn't work well. Also, the changing rooms could use better ventilation.","[{'term': 'workout', 'polarity': 'positive'}, {'term': 'air conditioning', 'polarity': 'negative'}, {'term': 'changing rooms', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
240,"The gym's equipment is top-notch, but the staff needs better training on customer service. I also noticed a lot of broken locker keys in the changing rooms.","[{'term': 'equipment', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'negative'}, {'term': 'locker keys', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
241,"I love how spacious the gym is, but the air conditioning is just terrible during the summer. Also, the floor mats are slippery when wet.","[{'term': 'gym', 'polarity': 'positive'}, {'term': 'air conditioning', 'polarity': 'negative'}, {'term': 'floor mats', 'polarity': 'negative'}]","[{'category': 'space', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
242,"The staff is incredibly friendly, but I wish the hours were more flexible, especially during holidays. The swimming pool could use more cleaning, though.","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'hours', 'polarity': 'negative'}, {'term': 'swimming pool', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
243,"The gym's Wi-Fi was surprisingly fast, but the dumbbells are always scattered around the floor, which is dangerous. The music is often too loud as well.","[{'term': 'Wi-Fi', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'music', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
244,"The gym has great machines for cardio, but there are not enough weights in the free weights area. I also dislike the strict rules about gym attire.","[{'term': 'machines', 'polarity': 'positive'}, {'term': 'weights', 'polarity': 'negative'}, {'term': 'gym attire', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'rules', 'polarity': 'negative'}]"
245,"The gym's location is fantastic, but there's a lack of parking spaces. The lockers are small, and they don't fit my gym bag.","[{'term': 'location', 'polarity': 'positive'}, {'term': 'parking spaces', 'polarity': 'negative'}, {'term': 'lockers', 'polarity': 'negative'}]","[{'category': 'location', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
246,"The yoga classes are excellent, but I had trouble getting a spot. The lighting in the studio is also too dim, which I don't like.","[{'term': 'yoga classes', 'polarity': 'positive'}, {'term': 'spot', 'polarity': 'negative'}, {'term': 'lighting', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
247,"The swimming pool is always too cold for a comfortable swim, and the changing rooms are so cramped, it's hard to get dressed. The reception desk could be more efficient.","[{'term': 'swimming pool', 'polarity': 'negative'}, {'term': 'changing rooms', 'polarity': 'negative'}, {'term': 'reception desk', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'negative'}]"
248,"The gym's cleanliness is excellent, but the lockers are always full. The atmosphere is motivating, but the music gets too repetitive after a while.","[{'term': 'cleanliness', 'polarity': 'positive'}, {'term': 'lockers', 'polarity': 'negative'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'music', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'positive'}]"
249,"The gym has great cardio equipment, but the pool area is too small for the number of people who use it. The staff is always helpful, though.","[{'term': 'cardio equipment', 'polarity': 'positive'}, {'term': 'pool area', 'polarity': 'negative'}, {'term': 'staff', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'positive'}]"
250,"The personal training sessions are great, but I didn't like how crowded the gym gets during peak hours. The temperature inside was also too high.","[{'term': 'personal training', 'polarity': 'positive'}, {'term': 'crowded', 'polarity': 'negative'}, {'term': 'temperature', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'environment', 'polarity': 'negative'}]"
251,"The gym is clean and organized, but the front desk could use more staff. The locker rooms are sometimes messy and could be improved.","[{'term': 'cleanliness', 'polarity': 'positive'}, {'term': 'front desk', 'polarity': 'negative'}, {'term': 'locker rooms', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
252,"The gym's flexibility with payment options is amazing, but the equipment sometimes seems old and outdated. They could upgrade a few machines.","[{'term': 'payment options', 'polarity': 'positive'}, {'term': 'equipment', 'polarity': 'negative'}, {'term': 'machines', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}]"
253,"I like the variety of machines, but the gym lacks a good stretching area. The lighting is also harsh and too bright in some spots.","[{'term': 'variety of machines', 'polarity': 'positive'}, {'term': 'stretching area', 'polarity': 'negative'}, {'term': 'lighting', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
254,"The gym is very affordable, but the hours are not convenient for people with busy schedules. The temperature inside could be lower, especially during summer.","[{'term': 'affordable', 'polarity': 'positive'}, {'term': 'hours', 'polarity': 'negative'}, {'term': 'temperature', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
255,"The classes offered at the gym are fantastic, but the waiting time to join one can be really long. Also, the gym could use a better cleaning routine for the showers.","[{'term': 'classes', 'polarity': 'positive'}, {'term': 'waiting time', 'polarity': 'negative'}, {'term': 'showers', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
256,"The gym has amazing fitness programs, but the equipment is often broken and in need of repair. The staff is nice, but the gym needs more trainers available at peak hours.","[{'term': 'fitness programs', 'polarity': 'positive'}, {'term': 'equipment', 'polarity': 'negative'}, {'term': 'staff', 'polarity': 'positive'}, {'term': 'trainers', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'positive'}]"
257,"The gym is located in a perfect spot, but parking is a nightmare. The showers are clean, but could use more privacy screens.","[{'term': 'location', 'polarity': 'positive'}, {'term': 'parking', 'polarity': 'negative'}, {'term': 'showers', 'polarity': 'positive'}]","[{'category': 'location', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
258,"The gym has all the equipment you need, but it gets too crowded, especially during the evening. The locker rooms are clean but could use more space.","[{'term': 'equipment', 'polarity': 'positive'}, {'term': 'crowded', 'polarity': 'negative'}, {'term': 'locker rooms', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'environment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
259,"The gym has great amenities, but the staff is often not available when you need assistance. The equipment is well-maintained, but the parking lot could use better signage.","[{'term': 'amenities', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'negative'}, {'term': 'equipment', 'polarity': 'positive'}, {'term': 'parking lot', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'negative'}, {'category': 'equipment', 'polarity': 'positive'}, {'category': 'location', 'polarity': 'negative'}]"
